Type*,Brand*,Model Number,Model Name,Serial Number*,Specifications,CPU,RAM,Storage,Status,Purchase Date,Buy Price,Warranty Expiry Date,Life Span,Out of Box OS,Assigned Employee ID
Laptop,Apple,A2681,MacBook Air 13.6,JRH6XR7HM9,,,,,Sold,9/13/2023," EGP 77,500 ",,,,
Laptop,HP,1J861UC#ABA,Zbook 15u G6,5CG0235S7F,,,,,Sold,5/21/2024," EGP 21,809 ",,,,
Laptop,HP,1J861UC#ABA,Zbook 15u G6,5CG0279WC,,,,,In Use,5/21/2024," EGP 21,809 ",,,,
Laptop,Dell,, G15 5520,FNPM8R3,,,,,Sold,10/24/2022," EGP 29,800 ",,,,
Laptop,HP,6XF92AV,ZBook 15 G5 QEB19B,2TK94304WD,,,,,In Use,7/31/2024," EGP 19,210 ",,,,
Laptop,HP,5SF10AV,ZBook 15 G5,2TK93303MT,,,,,In Use,7/31/2024," EGP 19,210 ",,,,
Laptop,HP,8HR70UC#ABA,ZBook 15u G6,5CG0149FR1,,,,,In Use,7/31/2024," EGP 19,210 ",,,,
Laptop,HP,9JT19US#ABA,ZBook 14u G6,5CG0265ZSL,,,,,Sold,8/24/2024," EGP 14,520 ",,,,
Laptop,HP,9JT19US#ABA,ZBook 14u G6,5CG0270XGX,,,,,Sold,8/24/2024," EGP 14,520 ",,,,
Laptop,HP,9JT19US#ABA,ZBook 14u G6,5CG0270XFW,,,,,Sold,8/24/2024," EGP 14,520 ",,,,
Laptop,HP,9JT16US#ABA,Zbook 15u G6,5CG0348ZG6,,,,,Sold,8/24/2024," EGP 17,910 ",,,,
Laptop,HP,9JT16US#ABA,Zbook 15u G6,5CG0348Z6Z,,,,,Sold,8/24/2024," EGP 17,910 ",,,,
Laptop,HP,5RK31US#ABA,Zbook 15u G6,5CG9012GRH,,,,,Sold,9/2/2024," EGP 17,910 ",,,,
Smartphone,Xiaomi,,Redmi 10C 4G,8.61191E+14,,,,,Available,,,,,,
